variant	kind	bytes	raw_sha256	raw_bytes	text_bytes	data_bytes	tcg_ratio	full_p95_ms	crypto_p95_ms	native_ratio
baseline	none	0	4cf4fa35f6ed3e60fb2636b5ba37ccc47c30202df4a8b063f2489c9fc33aef01	179312	115887	48120	1.174	2736.4	2331.3	0.999
text-64	text	64	b9347e4ae91a80481f8848b2c3c983f66dafe254eadcc9df029a066065bf9353	179312	115951	48120	1.113	2671.7	2400.3	1.016
text-128	text	128	42456237aa0bc65985a1cd8ea84f1b734b922e00f633d735bc88ff2dcce85c93	179312	116015	48120	1.136	2638.9	2322.4	0.988
text-192	text	192	f908e385c4653a3125e22e2edc71ed0f99e2ca708b0cdc05aebdc07709c6229f	179312	116079	48120	1.095	2608.5	2383.0	0.997
text-256	text	256	8825f881935b4598220d205f9e59b266caebbea8ca2849e77cbfb808262c4284	179312	116143	48120	1.089	2604.2	2391.6	1.008
text-512	text	512	3f2c27c9ec8a1881ff3920268be3b4d0d93d165b22500b599682f06b53adf7da	179312	116399	48120	1.134	2631.5	2319.7	1.006
text-4096	text	4096	3eda6ed07a6010e870f83bf1fab506d5e5fbfb71f9aea4f162981b2f3836044c	183408	119983	48120	1.145	2594.2	2266.5	0.986
data-64	data	64	b5e690dad64613331262c6c9d7ff27c5adf26fad0c5977cad039e7c27b03813f	179312	115887	48120	1.113	2581.2	2318.7	1.003
data-128	data	128	efe1f883b504c850aa6b1ab268083c80d8ee87ca6b409bbe3f9a993200bfe6cb	179312	115887	48120	1.096	2527.7	2307.0	1.001
data-192	data	192	f59fcf30d0c5555ad027ee5ef892261596bd04cbc5e026a0eeb7700350ddaeb6	179312	115887	48120	1.095	2527.4	2307.7	1.001
